Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,615.50,617.50,610.50,615.00,9068800,470.64
2007-12-28,619.00,622.50,614.00,619.00,14528600,473.70
2007-12-27,618.00,624.00,612.50,621.50,18150700,475.61
2007-12-26,617.00,617.00,617.00,617.00,000,472.17
2007-12-25,617.00,617.00,617.00,617.00,000,472.17
2007-12-24,614.00,619.00,609.18,617.00,6593200,472.17
2007-12-21,616.00,621.50,613.00,616.00,75650800,471.40
2007-12-20,603.50,612.00,603.50,611.50,52509900,467.96
2007-12-19,605.00,610.00,600.50,604.00,59069800,462.22
2007-12-18,606.00,613.50,604.50,606.50,37687300,464.13
2007-12-17,613.50,617.00,607.00,608.00,38035300,465.28
2007-12-14,610.00,619.50,610.00,617.50,36548100,472.55
2007-12-13,618.50,622.50,608.00,608.00,46759000,465.28
2007-12-12,610.00,624.00,609.00,623.00,59355500,476.76
2007-12-11,616.00,621.00,611.50,616.50,43526300,471.79
2007-12-10,618.00,620.00,611.00,616.00,39826700,471.40
2007-12-07,615.00,621.00,610.50,619.50,62334900,474.08
2007-12-06,608.50,616.00,602.50,610.00,40798000,466.81
2007-12-05,589.50,609.00,587.50,608.50,60561200,465.67
2007-12-04,587.50,592.00,585.00,587.50,32211900,449.59
2007-12-03,590.50,598.50,586.00,588.50,42411400,450.36
2007-11-30,584.50,593.50,584.50,590.00,55525500,451.51
2007-11-29,583.00,589.00,576.00,587.50,40514500,449.59
2007-11-28,573.00,580.00,565.50,577.50,47608000,441.94
2007-11-27,570.50,582.00,564.00,569.00,49210300,435.44
2007-11-26,577.00,587.00,573.50,573.50,37719000,438.88
2007-11-23,574.00,577.50,568.50,577.50,32133700,441.94
2007-11-22,578.00,579.50,570.00,576.00,25519500,440.79
2007-11-21,579.00,588.50,575.00,577.50,44582500,441.94
2007-11-20,574.00,580.50,566.50,580.00,64951700,443.86
2007-11-19,585.50,593.50,572.50,572.50,34604700,438.12
2007-11-16,583.00,593.00,582.00,587.00,39240200,449.21
2007-11-15,596.00,598.00,584.00,586.00,43800600,448.45
2007-11-14,590.50,607.00,587.81,599.50,70793700,458.78
2007-11-13,584.50,588.58,579.50,583.00,50010500,446.15
2007-11-12,596.00,597.00,582.50,586.50,55362100,448.83
2007-11-09,609.00,613.50,593.50,598.50,64478300,458.01
2007-11-08,616.50,621.00,609.00,609.00,87649100,466.05
2007-11-07,632.50,637.50,624.00,624.00,39740900,477.53
2007-11-06,633.00,640.63,630.00,633.50,43721500,480.73
2007-11-05,625.00,660.00,624.50,632.00,71095800,479.60
2007-11-02,613.50,628.63,613.50,627.00,83600500,475.80
2007-11-01,627.00,635.50,616.00,618.50,63723800,469.35
2007-10-31,616.50,630.18,611.93,625.00,75066900,474.28
2007-10-30,634.00,635.16,621.50,622.50,58163200,472.39
2007-10-29,634.50,641.19,630.50,634.00,62635300,481.11
2007-10-26,615.00,631.71,615.00,629.00,72350900,477.32
2007-10-25,616.00,1264.00,611.00,612.50,77963600,464.80
2007-10-24,610.50,620.50,607.00,611.50,77404900,464.04
2007-10-23,613.00,625.10,601.50,612.00,91446200,464.42
2007-10-22,605.00,609.84,601.50,605.00,71420500,459.11
2007-10-19,618.50,632.50,611.00,611.00,77528900,463.66
2007-10-18,620.50,621.88,612.00,616.00,66820300,467.45
2007-10-17,625.00,626.50,616.00,619.50,96548000,470.11
2007-10-16,620.00,632.50,518.50,627.00,87304100,475.80
2007-10-15,617.50,645.00,616.50,622.50,157887500,472.39
2007-10-12,592.00,650.00,590.00,619.00,231862600,469.73
2007-10-11,583.00,600.00,580.35,593.50,107729800,450.38
2007-10-10,580.50,584.00,576.00,580.00,86337000,440.13
